ID_Encontre;Categoria;Fase;Grup;Jornada;Equip Local;Equip Visitant;Local;Visitant;Dia
1;Preferent;1;1;1;FALCONS DE SABADELL A.E.;ATT PREMIÀ DE MAR;27;53;25/09/2022
2;Preferent;1;1;1;NEW OLIVER BADALONA;CTT DELS HORTS 2000;9;60;25/09/2022
3;Preferent;1;1;1;CTT SENTMENAT;CTT CARDEDEU EIG;233;190;25/09/2022
4;Preferent;1;1;1;CTT ATENEU 1882;"EL CENTRE ""A""";7;31;25/09/2022
5;Preferent;1;1;1;LLUÏSOS DE GRÀCIA;CTT SANT QUINTÍ DE MEDIONA;39;36;25/09/2022
6;Preferent;1;1;1;BELLVITGE ALHEÑA;CTT ELS AMICS DE TERRASSA;14;24;25/09/2022
7;Preferent;1;1;2;ATT PREMIÀ DE MAR;CTT ELS AMICS DE TERRASSA;53;24;16/10/2022
8;Preferent;1;1;2;CTT SANT QUINTÍ DE MEDIONA;BELLVITGE ALHEÑA;36;14;16/10/2022
9;Preferent;1;1;2;"EL CENTRE ""A""";LLUÏSOS DE GRÀCIA;31;39;16/10/2022
10;Preferent;1;1;2;CTT CARDEDEU EIG;CTT ATENEU 1882;190;7;16/10/2022
11;Preferent;1;1;2;CTT DELS HORTS 2000;CTT SENTMENAT;60;233;16/10/2022
12;Preferent;1;1;2;FALCONS DE SABADELL A.E.;NEW OLIVER BADALONA;27;9;16/10/2022
13;Preferent;1;1;3;NEW OLIVER BADALONA;ATT PREMIÀ DE MAR;9;53;23/10/2022
14;Preferent;1;1;3;CTT SENTMENAT;FALCONS DE SABADELL A.E.;233;27;23/10/2022
15;Preferent;1;1;3;CTT ATENEU 1882;CTT DELS HORTS 2000;7;60;23/10/2022
16;Preferent;1;1;3;LLUÏSOS DE GRÀCIA;CTT CARDEDEU EIG;39;190;23/10/2022
17;Preferent;1;1;3;BELLVITGE ALHEÑA;"EL CENTRE ""A""";14;31;23/10/2022
18;Preferent;1;1;3;CTT ELS AMICS DE TERRASSA;CTT SANT QUINTÍ DE MEDIONA;24;36;23/10/2022
19;Preferent;1;1;4;ATT PREMIÀ DE MAR;CTT SANT QUINTÍ DE MEDIONA;53;36;30/10/2022
20;Preferent;1;1;4;"EL CENTRE ""A""";CTT ELS AMICS DE TERRASSA;31;24;30/10/2022
21;Preferent;1;1;4;CTT CARDEDEU EIG;BELLVITGE ALHEÑA;190;14;30/10/2022
22;Preferent;1;1;4;CTT DELS HORTS 2000;LLUÏSOS DE GRÀCIA;60;39;30/10/2022
23;Preferent;1;1;4;FALCONS DE SABADELL A.E.;CTT ATENEU 1882;27;7;30/10/2022
24;Preferent;1;1;4;NEW OLIVER BADALONA;CTT SENTMENAT;9;233;30/10/2022
25;Preferent;1;1;5;CTT SENTMENAT;ATT PREMIÀ DE MAR;233;53;06/11/2022
26;Preferent;1;1;5;CTT ATENEU 1882;NEW OLIVER BADALONA;7;9;06/11/2022
27;Preferent;1;1;5;LLUÏSOS DE GRÀCIA;FALCONS DE SABADELL A.E.;39;27;06/11/2022
28;Preferent;1;1;5;BELLVITGE ALHEÑA;CTT DELS HORTS 2000;14;60;06/11/2022
29;Preferent;1;1;5;CTT ELS AMICS DE TERRASSA;CTT CARDEDEU EIG;24;190;06/11/2022
30;Preferent;1;1;5;CTT SANT QUINTÍ DE MEDIONA;"EL CENTRE ""A""";36;31;06/11/2022
31;Preferent;1;1;6;ATT PREMIÀ DE MAR;"EL CENTRE ""A""";53;31;20/11/2022
32;Preferent;1;1;6;CTT CARDEDEU EIG;CTT SANT QUINTÍ DE MEDIONA;190;36;20/11/2022
33;Preferent;1;1;6;CTT DELS HORTS 2000;CTT ELS AMICS DE TERRASSA;60;24;20/11/2022
34;Preferent;1;1;6;FALCONS DE SABADELL A.E.;BELLVITGE ALHEÑA;27;14;20/11/2022
35;Preferent;1;1;6;NEW OLIVER BADALONA;LLUÏSOS DE GRÀCIA;9;39;20/11/2022
36;Preferent;1;1;6;CTT SENTMENAT;CTT ATENEU 1882;233;7;20/11/2022
37;Preferent;1;1;7;CTT ATENEU 1882;ATT PREMIÀ DE MAR;7;53;27/11/2022
38;Preferent;1;1;7;LLUÏSOS DE GRÀCIA;CTT SENTMENAT;39;233;27/11/2022
39;Preferent;1;1;7;BELLVITGE ALHEÑA;NEW OLIVER BADALONA;14;9;27/11/2022
40;Preferent;1;1;7;CTT ELS AMICS DE TERRASSA;FALCONS DE SABADELL A.E.;24;27;27/11/2022
41;Preferent;1;1;7;CTT SANT QUINTÍ DE MEDIONA;CTT DELS HORTS 2000;36;60;27/11/2022
42;Preferent;1;1;7;"EL CENTRE ""A""";CTT CARDEDEU EIG;31;190;27/11/2022
43;Preferent;1;1;8;ATT PREMIÀ DE MAR;CTT CARDEDEU EIG;53;190;04/12/2022
44;Preferent;1;1;8;CTT DELS HORTS 2000;"EL CENTRE ""A""";60;31;04/12/2022
45;Preferent;1;1;8;FALCONS DE SABADELL A.E.;CTT SANT QUINTÍ DE MEDIONA;27;36;04/12/2022
46;Preferent;1;1;8;NEW OLIVER BADALONA;CTT ELS AMICS DE TERRASSA;9;24;04/12/2022
47;Preferent;1;1;8;CTT SENTMENAT;BELLVITGE ALHEÑA;233;14;04/12/2022
48;Preferent;1;1;8;CTT ATENEU 1882;LLUÏSOS DE GRÀCIA;7;39;04/12/2022
49;Preferent;1;1;9;LLUÏSOS DE GRÀCIA;ATT PREMIÀ DE MAR;39;53;18/12/2022
50;Preferent;1;1;9;BELLVITGE ALHEÑA;CTT ATENEU 1882;14;7;18/12/2022
51;Preferent;1;1;9;CTT ELS AMICS DE TERRASSA;CTT SENTMENAT;24;233;18/12/2022
52;Preferent;1;1;9;CTT SANT QUINTÍ DE MEDIONA;NEW OLIVER BADALONA;36;9;18/12/2022
53;Preferent;1;1;9;"EL CENTRE ""A""";FALCONS DE SABADELL A.E.;31;27;18/12/2022
54;Preferent;1;1;9;CTT CARDEDEU EIG;CTT DELS HORTS 2000;190;60;18/12/2022
55;Preferent;1;1;10;ATT PREMIÀ DE MAR;CTT DELS HORTS 2000;53;60;15/01/2023
56;Preferent;1;1;10;FALCONS DE SABADELL A.E.;CTT CARDEDEU EIG;27;190;15/01/2023
