ID_Jugador;BID_Club
0;1
27;1
33;12
36;43
46;57
47;57
49;37
55;16
57;57
61;80
63;61
68;57
69;53
73;33
77;39
80;42
81;36
82;80
84;1
89;37
92;1
93;18
96;79
101;234
108;1
114;53
116;1
119;76
124;204
125;79
127;20
128;9
130;33
132;57
136;49
138;68
142;47
147;54
149;9
150;18
154;79
160;12
162;60
163;78
167;49
169;58
171;1
174;60
175;16
180;30
193;52
194;80
196;60
199;80
200;190
203;53
208;1
210;49
217;57
219;9
220;7
227;60
233;61
234;47
235;69
238;12
241;67
242;190
245;61
257;12
260;240
267;80
270;57
280;76
283;42
287;34
291;55
297;69
302;67
303;12
307;204
308;47
313;242
317;79
318;16
319;61
320;61
321;67
322;60
325;190
326;28
328;204
329;30
338;25
361;30
364;30
369;30
370;80
376;58
377;224
388;58
394;53
395;31
406;31
413;36
417;39
418;30
421;38
424;8
425;34
430;33
435;56
437;33
439;178
440;80
458;240
459;69
466;78
467;68
468;12
470;42
479;56
480;20
483;204
484;235
491;69
492;73
493;34
494;14
504;36
505;28
506;8
507;31
508;39
509;83
510;30
511;76
517;36
524;78
525;60
527;56
530;233
534;76
536;73
545;42
546;47
548;76
549;31
551;34
554;55
557;80
569;178
571;20
583;20
591;39
597;39
603;42
605;57
606;31
607;234
612;53
614;234
615;1
616;55
617;81
618;61
619;61
622;1
624;30
631;47
635;9
645;47
650;31
651;7
653;7
654;7
659;35
671;56
672;56
674;14
675;68
684;52
686;68
687;60
689;47
691;8
692;24
696;33
707;53
712;36
713;14
724;73
726;178
732;52
734;24
738;20
740;31
744;52
750;39
755;49
758;190
770;8
772;60
779;61
790;49
793;56
809;49
818;83
837;7
842;52
843;24
846;49
850;52
851;24
852;24
856;24
859;64
867;235
878;27
884;233
887;53
895;61
918;14
922;31
931;58
935;58
943;54
946;79
947;80
949;31
952;31
963;9
972;58
975;27
977;64
980;54
990;242
1000;18
1004;9
1014;42
1016;53
1040;27
1046;24
1050;43
1051;204
1067;27
1070;47
1076;56
1078;18
1080;31
1104;61
1105;53
1106;178
1114;61
1130;90
1133;242
1136;7
1147;201
1152;49
1156;238
1158;178
1161;49
1167;64
1172;73
1174;9
1198;25
1204;190
1211;9
1230;230
1231;53
1253;242
1295;34
1309;178
1364;190
1371;82
1394;34
1410;233
1425;233
1438;9
1447;224
1513;39
1529;58
1533;47
1537;7
1564;40
1584;64
1600;40
1601;18
1603;40
1645;73
1660;1
1663;47
1680;82
1694;9
1699;54
1720;224
1723;7
1725;7
1738;52
1748;68
1751;68
